model_name,model_type,horizon_hours,mae_mean,mae_std,rmse_mean,rmse_std,mape_mean,smape_mean,wape_mean,r2_mean,avg_training_seconds,total_folds
prophet,prophet,24,0.023336071235081284,0.038389820533684144,0.06354196732397534,0.10185175325107981,2.3336071235081284,16.665970758291433,0.0,0.0,0.33485350001137704,3
seasonal_naive_168,baseline,24,0.022184977563503,0.03842550830476279,0.0708670953696985,0.12274540976514692,2.2184977563503,9.259209015130258,0.0,0.0,0.0026274667276690402,3
sarima,statistical,24,0.04341098519936066,0.07024786123409849,0.07672492610684115,0.12415131526659637,4.341098519936065,44.441504716912355,0.0,0.0,1.06747593334876,3
arima,statistical,24,0.054426831225299115,0.08806658857098162,0.09588505204003762,0.1552162073176487,5.442683122529911,66.64294312294072,0.0,0.0,0.5317210000163565,3
seasonal_naive_24,baseline,24,0.05519920583857105,0.09560782904985766,0.16694649510562087,0.28915981166848426,5.519920583857105,7.407397232694077,0.0,0.0,0.0029914999613538384,3
xgboost_global,gradient_boosting,24,0.3280195356898427,0.22437650848277865,0.5878784496149693,0.2855645188176695,32.80195356898427,158.19136524503338,0.0,0.0,0.22885546666414788,3
sarima,statistical,48,0.04639226482750932,0.07513205882126801,0.08124077840613121,0.1315703590159738,4.639226482750932,44.44176983667804,0.0,0.0,1.007239633356221,3
arima,statistical,48,0.057017891237512774,0.09238983110592616,0.09963402237471858,0.16148061414317727,5.7017891237512766,66.64441202769298,0.0,0.0,0.5376484333149468,3
prophet,prophet,48,0.05712023059687773,0.07249567413035045,0.14310994142620623,0.14579260416835613,5.712023059687772,29.628971971046415,0.0,0.0,0.2695385667029768,3
seasonal_naive_24,baseline,48,0.05519920583857105,0.09560782904985766,0.16694649510562087,0.28915981166848426,5.519920583857105,7.407397232694077,0.0,0.0,0.0036782666575163603,3
seasonal_naive_168,baseline,48,0.06948625661949738,0.12035372689273867,0.16918755633028193,0.29304144357246975,6.9486256619497375,13.888848228251808,0.0,0.0,0.004496199971375366,3
xgboost_global,gradient_boosting,48,0.46508255905131657,0.31552902142592737,0.7893666553485228,0.3044665979304273,46.508255905131655,171.94109353404193,0.0,0.0,0.28291256667580456,3
sarima,statistical,168,0.048604289417085444,0.07876762826057865,0.08446281772907223,0.13688086562709642,4.860428941708544,44.441957699940964,0.0,0.0,1.0205667333599802,3
arima,statistical,168,0.05886889572389769,0.0954783209415639,0.10222738341726183,0.1658118112376982,5.886889572389769,66.64546124573907,0.0,0.0,0.5451720333658159,3
seasonal_naive_24,baseline,168,0.05519920583857105,0.09560782904985766,0.16694649510562087,0.28915981166848426,5.519920583857105,7.407397232694078,0.0,0.0,0.0036336332947636643,3
prophet,prophet,168,0.06832057814962189,0.07966086734269819,0.17675577011988397,0.15957754512077782,6.83205781496219,32.40665121828777,0.0,0.0,0.2813048332852001,3
seasonal_naive_168,baseline,168,0.06136011219703996,0.10627883188339998,0.20696892784868806,0.3584806986219849,6.136011219703996,9.391485079270618,0.0,0.0,0.002504300015668074,3
xgboost_global,gradient_boosting,168,0.6842750765554036,0.47832507281739955,1.0747505172230591,0.41161299923332345,68.42750765554037,187.82369009741444,0.0,0.0,0.25288229998356354,3
